Name,Last_Name,State,Party,Chamber,Years Served
"Abraham, Ralph Lee ",Abraham,Louisiana,Republican,House,2015-2021
"Adams, Alma S. ",Adams,North Carolina,Democratic,House,2014-Present
"Aderholt, Robert B. ",Aderholt,Alabama,Republican,House,1997-Present
"Aguilar, Pete ",Aguilar,California,Democratic,House,2015-Present
"Alexander, Lamar ",Alexander,Tennessee,Republican,Senate,2003-2021
"Alford, Mark ",Alford,Missouri,Republican,House,2023-Present
"Allen, Rick W. ",Allen,Georgia,Republican,House,2015-Present
"Allred, Colin Z. ",Allred,Texas,Democratic,House,2019-Present
"Amash, Justin ",Amash,Michigan,Libertarian,House,2011-2021
"Amo, Gabe ",Amo,Rhode Island,Democratic,House,2023-Present
"Amodei, Mark E. ",Amodei,Nevada,Republican,House,2011-Present
"Armstrong, Kelly ",Armstrong,North Dakota,Republican,House,2019-Present
"Arrington, Jodey C. ",Arrington,Texas,Republican,House,2017-Present
"Ashford, Brad ",Ashford,Nebraska,Democratic,House,2015-2017
"Auchincloss, Jake ",Auchincloss,Massachusetts,Democratic,House,2021-Present
"Axne, Cynthia ",Axne,Iowa,Democratic,House,2019-2023
"Ayotte, Kelly ",Ayotte,New Hampshire,Republican,Senate,2011-2017
"Babin, Brian ",Babin,Texas,Republican,House,2015-Present
"Bacon, Don ",Bacon,Nebraska,Republican,House,2017-Present
"Baird, James R. ",Baird,Indiana,Republican,House,2019-Present
"Balderson, Troy ",Balderson,Ohio,Republican,House,2018-Present
"Baldwin, Tammy ",Baldwin,Wisconsin,Democratic,Senate,2013-Present
"Balint, Becca ",Balint,Vermont,Democratic,House,2023-Present
"Banks, Jim ",Banks,Indiana,Republican,House,2017-Present
"Barletta, Lou ",Barletta,Pennsylvania,Republican,House,2011-2019
"Barr, Andy ",Barr,Kentucky,Republican,House,2013-Present
"Barragán, Nanette Diaz ",Barragán,California,Democratic,House,2017-Present
"Barrasso, John ",Barrasso,Wyoming,Republican,Senate,2007-Present
"Barton, Joe ",Barton,Texas,Republican,House,1985-2019
"Bass, Karen ",Bass,California,Democratic,House,2011-2022
"Bean, Aaron ",Bean,Florida,Republican,House,2023-Present
"Beatty, Joyce ",Beatty,Ohio,Democratic,House,2013-Present
"Becerra, Xavier ",Becerra,California,Democratic,House,1993-2017
"Benishek, Dan ",Benishek,Michigan,Republican,House,2011-2017
"Bennet, Michael F. ",Bennet,Colorado,Democratic,Senate,2009-Present
"Bentz, Cliff ",Bentz,Oregon,Republican,House,2021-Present
"Bera, Ami ",Bera,California,Democratic,House,2013-Present
"Bergman, Jack ",Bergman,Michigan,Republican,House,2017-Present
"Beyer, Donald S. ",Beyer,Virginia,Democratic,House,2015-Present
"Bice, Stephanie I. ",Bice,Oklahoma,Republican,House,2021-Present
"Biggs, Andy ",Biggs,Arizona,Republican,House,2017-Present
"Bilirakis, Gus M. ",Bilirakis,Florida,Republican,House,2007-Present
"Bishop, Dan ",Bishop,North Carolina,Republican,House,2019-Present
"Bishop, Mike ",Bishop,Michigan,Republican,House,2015-2019
"Bishop, Rob ",Bishop,Utah,Republican,House,2003-2021
"Bishop, Sanford D. ",Bishop,Georgia,Democratic,House,1993-Present
"Black, Diane ",Black,Tennessee,Republican,House,2011-2019
"Blackburn, Marsha ",Blackburn,Tennessee,Republican,Senate,2019-Present
"Blum, Rod ",Blum,Iowa,Republican,House,2015-2019
"Blumenauer, Earl ",Blumenauer,Oregon,Democratic,House,1995-Present
"Blumenthal, Richard ",Blumenthal,Connecticut,Democratic,Senate,2011-Present
"Blunt Rochester, Lisa ",Blunt Rochester,Delaware,Democratic,House,2017-Present
"Blunt, Roy ",Blunt,Missouri,Republican,Senate,2011-2023
"Boebert, Lauren ",Boebert,Colorado,Republican,House,2021-Present
"Boehner, John A. ",Boehner,Ohio,Republican,House,1991-2015
"Bonamici, Suzanne ",Bonamici,Oregon,Democratic,House,2012-Present
"Booker, Cory A. ",Booker,New Jersey,Democratic,Senate,2013-Present
"Boozman, John ",Boozman,Arkansas,Republican,Senate,2011-Present
"Bordallo, Madeleine Z. - Delegate",Bordallo,Guam,Democratic,House,2003-2019
"Bost, Mike ",Bost,Illinois,Republican,House,2015-Present
"Bourdeaux, Carolyn ",Bourdeaux,Georgia,Democratic,House,2021-2023
"Boustany, Charles W., Jr. ",Boustany,Louisiana,Republican,House,2005-2017
"Bowman, Jamaal ",Bowman,New York,Democratic,House,2021-Present
"Boxer, Barbara ",Boxer,California,Democratic,Senate,1993-2017
"Boyle, Brendan F. ",Boyle,Pennsylvania,Democratic,House,2015-Present
"Brady, Kevin ",Brady,Texas,Republican,House,1997-2023
"Brady, Robert A. ",Brady,Pennsylvania,Democratic,House,1997-2019
"Brat, Dave ",Brat,Virginia,Republican,House,2014-2019
"Braun, Mike ",Braun,Indiana,Republican,Senate,2019-Present
"Brecheen, Josh ",Brecheen,Oklahoma,Republican,House,2023-Present
"Bridenstine, Jim ",Bridenstine,Oklahoma,Republican,House,2013-2018
"Brindisi, Anthony ",Brindisi,New York,Democratic,House,2019-2021
"Britt, Katie Boyd ",Britt,Alabama,Republican,Senate,2023-Present
"Brooks, Mo ",Brooks,Alabama,Republican,House,2011-2023
"Brooks, Susan W. ",Brooks,Indiana,Republican,House,2013-2021
"Brown, Anthony G. ",Brown,Maryland,Democratic,House,2017-2023
"Brown, Corrine ",Brown,Florida,Democratic,House,1993-2017
"Brown, Sherrod ",Brown,Ohio,Democratic,Senate,2007-Present
"Brown, Shontel M. ",Brown,Ohio,Democratic,House,2021-Present
"Brownley, Julia ",Brownley,California,Democratic,House,2013-Present
"Buchanan, Vern ",Buchanan,Florida,Republican,House,2007-Present
"Buck, Ken ",Buck,Colorado,Republican,House,2015-2024
"Bucshon, Larry ",Bucshon,Indiana,Republican,House,2011-Present
"Budd, Ted ",Budd,North Carolina,Republican,Senate,2023-Present
"Budzinski, Nikki ",Budzinski,Illinois,Democratic,House,2023-Present
"Burchett, Tim ",Burchett,Tennessee,Republican,House,2019-Present
"Burgess, Michael C. ",Burgess,Texas,Republican,House,2003-Present
"Burlison, Eric ",Burlison,Missouri,Republican,House,2023-Present
"Burr, Richard ",Burr,North Carolina,Republican,Senate,2005-2023
"Bush, Cori ",Bush,Missouri,Democratic,House,2021-Present
"Bustos, Cheri ",Bustos,Illinois,Democratic,House,2013-2023
"Butler, Laphonza R. ",Butler,California,Democratic,Senate,2023-Present
"Butterfield, G. K. ",Butterfield,North Carolina,Democratic,House,2004-2022
"Byrne, Bradley ",Byrne,Alabama,Republican,House,2014-2021
"Calvert, Ken ",Calvert,California,Republican,House,1993-Present
"Cammack, Kat ",Cammack,Florida,Republican,House,2021-Present
"Cantwell, Maria ",Cantwell,Washington,Democratic,Senate,2001-Present
"Capito, Shelley Moore ",Capito,West Virginia,Republican,Senate,2015-Present
"Capps, Lois ",Capps,California,Democratic,House,1997-2017
"Capuano, Michael E. ",Capuano,Massachusetts,Democratic,House,1999-2019
"Caraveo, Yadira ",Caraveo,Colorado,Democratic,House,2023-Present
"Carbajal, Salud O. ",Carbajal,California,Democratic,House,2017-Present
"Cárdenas, Tony ",Cárdenas,California,Democratic,House,2013-Present
"Cardin, Benjamin L. ",Cardin,Maryland,Democratic,Senate,2007-Present
"Carey, Mike ",Carey,Ohio,Republican,House,2021-Present
"Carl, Jerry L. ",Carl,Alabama,Republican,House,2021-Present
"Carney, John C., Jr. ",Carney,Delaware,Democratic,House,2011-2017
"Carper, Thomas R. ",Carper,Delaware,Democratic,Senate,2001-Present
"Carson, André ",Carson,Indiana,Democratic,House,2008-Present
